Phone Brand,Phone specification,Old Price,New Price,Rating
Samsung,"Galaxy A02 - 2/32GB Memory,Dual SIM, 5,000Mah Battery, 4G LTE - Black",,64688,4.3
QUBO,"BIG1-6.26"" Screen,4500mAh Battery,16GB ROM,8MP Main Camera,Android 10,Fingerprint Unlock ,3G Android Smartphone",33990,28500,4.1
XIAOMI,"Redmi 9A 6.53 Inches 2GB RAM 32GB ROM 13MP REAR CAMERA, 5MP FRONT CAMERA, 5000mAH- Grey",60000,45150,4.4
QUBO,"BIG1,6.26 Inch Screen,4500mAh ,16GB ROM,8MP Main Camera,Android 10,Fingerprint Unlock ,3G Android Smartphone",33990,28500,4.1
Itel,"A35 5.0"" HD Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP + 2MP Camera, Face Unlock, 3G - Blue +Free Case",28000,21973,4.1
Gionee,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Black",49990,41929,4.1
XIAOMI,"Poco M3 4GB 128GB, 48MP+2MP+2MP,6000mah,Snapdragon 662, Corning Gorilla Glass - Cool Blue",90000,77000,4.7
QUBO,"SP510 -Android 10,Memory 8GB ,5 Inch Dual SIM, 5MP Camera, 3G Smartphones",23900,19200,3.8
Infinix,"Infinix Note 10 (X693) 6.95-Inch (128GB ROM, 4GB RAM) 48MP+16MP Night Camera, 5000mAh Battery - purple",120000,82090,4.3
XIAOMI,"Redmi 9C 6.53 Inch, 5MP Selfie/ 13mp+2mp+2mp Dual Rear Camera; 3GB RAM 64GB ROM 5000mAh - Grey",66000,59400,4.3
Gionee,K3(M100) 4GB+64GB 6.22 Inch HD+ Android  P 5000 Mah Dual SIM 4G LTE Smartphone,94098,93157,3.9
UMIDIGI,"A7S Infrared Temperature Sensor 6.53-Inch (2GB,32GB ROM)Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Granite Grey",64840,41000,3.8
XIAOMI,"Redmi Note 10S 6GB 64GB, 64MP+8MP+2MP+2MP,5000mah,MediaTek Helio G95 (12nm), Corning Gorilla Glass 3 - Ocean Blue",140000,107700,4.9
Tecno,"Spark Go 2020, 6.52'' HD+, 32+2GB, 13MP Rear Camera + 8MP Front Camera, 5000mAh, Android 10, 4G - Mystery White",55000,45999,4.6
Apple,iPhone 5 1G RAM 16GB ROM IOS 3G 4.0 Inch 8MP ICloud WIFI GPS Phone,36000,18715,4.2
Cubot,"Note 7, 5.5 Inches,4G LTE,2GB + 16GB,3100mAh  (Dual SIM),Triple Camera -Blue",49099,28500,4.1
Samsung,"Samsung Galaxy A32 - 6.4"", 6/128GB Memory, Camera - 64/8/5/5MP, 20MP Selfie, Dual SIM, 5,000Mah Battery, 4G LTE - blue",140000,114190,5.0
UMIDIGI,"BISON IP68/IP69K (6GB,128GB) 6.3-Inch Gorilla Glass (48MP+16MP+5MP+5MP)+24MP NFC Android 10 Rugged Smartphone-Orange",131500,81900,4.5
UMIDIGI,"A7S Infrared Temperature Sensor 6.53"" (2GB,32GB ROM) Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Peacock Green",64840,41000,4.0
XIAOMI,"Redmi Note 8 (2021) 4GB 64GB, 48MP+8MP+2MP+2MP,4000mah,MediaTek Helio G85 (12nm), Corning Gorilla Glass 5 - Space Black",100000,76700,4.8
Tecno,"POP4 (BC2) 6"" Big Screen, 2GB RAM + 32GB ROM, 5000mAh Battery, Android 10, 8MP + 5MP Camera, Fingerprint -IceLake Green",42990,40490,4.3
Itel,"A56 5.99"" IPS Screen, Android 9 Pie, 16GB ROM + 1GB RAM, 8MP + 5MP Camera, 4000mAh Battery, Fingerprint & Face ID - Blue",35000,30990,4.2
UMIDIGI,"A9 Android 11 Infrared Temperature Sensor (13MP+8MP+2MP)+8MP 6.53-Inch (3GB,64GB ROM)5150mAh Global Version-Granite Grey",84840,56900,4.3
UMIDIGI,"A9 Pro Infrared Temperature Sensor (32MP+16MP+5MP+5MP) +24MP 6.3-Inch (4GB,64GB ROM) Android 10 Smartphone-Forest Green",104840,64900,4.5
QUBO,"P19 ,5.5"" HD-screen,3GB+32GB,5200mAh Big Battery,fingerprint, Fast Charge,Dual Sim 4G Android Smartphone",47990,32990,4.0
Tecno,"POP3 (BB2) 5.7"" Screen, 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh, Fingerprint & Face ID - Black",35000,30750,4.2
Itel,"A37 5.7"" HD+ Waterdrop Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP Camera, Face ID - Green + Free Case",30000,28290,3.9
Infinix,Smart 5 (X657)- 32gb ROM/ 2gb RAM- 6.6'' HD+ Waterdrop- 5000mah-8MP/8MP-ANDROID TM 10(Go Edition) -MIDNIGHT BLACK,50500,44990,4.4
Tecno,"POP4 , 6"" Screen 32GB ROM + 2GB RAM, 8MP/5MP Camera, Android Q (Go Edition), 5000mah - Ice Lake Green",45000,39890,4.4
Tecno,"Camon 17 (CG6) 6.6"" 90Hz HD+, 4GB RAM + 128GB ROM, 48MP Triple Rear + 8MP Front ,Android 11, 5000mAh, 4G - FROST SILVER",,105000,4.3
Tecno,"Spark 7 (KF6i) 6.5"" HD+, 64GB ROM + 3GB RAM, 5000mAh, 16MP Dual Camera + 8MP Selfie,  4G, Fingerprint - Spruce Green",62000,58500,5.0
Tecno,"POP3 (BB2) 5.7"" Screen, 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh,  - Sandstone Black",32000,31199,4.1
XIAOMI,"Redmi Note 9, 6.53 Inch FHD + (4GB RAM,128GB ROM) MIUI 11 (48MP + 8MP + 2MP + 2MP) 5020mAh-green",100000,85704,4.3
Tecno,"Spark 7 P (KF7j) 6.8"" HD+, 64GB ROM +4GB RAM, 16MP Triple Camera, 5000mAh, Helio G70, 4G, Fingerprint -Alps Blue",70000,63400,4.6
Samsung,"Galaxy A02 - 6.5"", 3/64GB Memory, 13MP Camera, Dual SIM, 5,000Mah Battery, 4G LTE - Black",65000,52320,4.4
Itel,"A35 5.0"" HD Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP +2MP Camera, Face Unlock, 3G - Green +Free Case",28000,23290,4.3
Gionee,"S11 Lite 5.7-Inch HD (4GB,64GB ROM) Android 7.1 (13MP + 2MP) + 16MP Dual SIM 4G LTE Fingerprint ID Smartphone - Gold",55000,40800,4.2
UMIDIGI,"A11 (4GB,128GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-FrostGrey",111500,68900,3.0
Tecno,"CAMON 16(CE7J)-6.8"" HD+ DOT-in DISPLAY-128GB ROM/4GB RAM-16MP/48MP CAMERA-5000MAH-4G LTE-mist grey",,82148,5.0
Tecno,"Camon 17P (CG7) 6.8"" FHD+, 6GB RAM + 128GB ROM, 64MP Quad Rear + 16MP Selfie Camera, 5000mAh, Android 11, 4G - Green",120000,98990,5.0
Tecno,"Camon 17P (CG7) 6.8"" FHD+, 6GB RAM + 128GB ROM, 64MP Quad Rear + 16MP Selfie Camera, 5000mAh, Android 11, 4G - Green",120000,98990,5.0
Tecno,"POP4 , 6"" Screen 32GB ROM + 2GB RAM, 8MP/5MP Camera, Android Q (Go Edition), 5000mah -  Dawn Blue",45000,39890,4.4
Infinix,"Hot 10 Play (X688B)- 6.82"" HD+, 4GB RAM + 64GB ROM, 6000mAh -Android 10, 13MP/8MP- 4G, Fingerprint -7 PURPLE",67000,64600,4.8
Gionee,"P12 6.1"" HD+ (2GB RAM, 16GB ROM) Android 10 (13MP Rear Camera [Triple],5MP Front) Dual SIM-4G LTE- 3200mAh Battery-Black",48900,38900,4.3
Infinix,Smart 5 (X657)- 32gb ROM/ 2gb RAM- 6.6'' HD+ Waterdrop- 5000mah-8MP/8MP-ANDROID TM 10(Go Edition) -Quetzal Cyan,50500,44500,4.6
Tecno,"Spark 7p (KF7J) (64GB, 4GB RAM) 6.8-Inch HD, Android Q (Go Edition) 16MP Rear+8MP Selfie Camera, 5000mAh - Blue",70000,63550,4.5
UMIDIGI,"A7S Infrared Temperature Sensor 6.53-Inch (2GB,32GB ROM)Android 10 GO (13MP+8MP+2MP)+8MP 4150mAh Smartphone-Sky Blue",64840,41000,4.0
UMIDIGI,"A9 Pro Infrared Temperature Sensor (32MP+16MP+5MP+5MP) +24MP 6.3-Inch (4GB,64GB ROM) Android 10 Smartphone-Onyx Black",98170,64900,4.4
Gionee,"S12 6.517-Inch HD (4GB RAM, 64GB ROM) Android 10 (16+8+2+2MP Quad Rear Camera, 13MP Front) Dual SIM 4G LTE Fingerprint",75000,56800,4.2
XIAOMI,"Redmi 9A 6.53 Inches 2GB RAM 32GB ROM 13MP REAR CAMERA, 5MP FRONT CAMERA, 5000mAH- Granite Gray",48000,44800,4.1
Tecno,"POP3 (BB2) 5.7"" Screen, 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP Camera, 3500mAh, Fingerprint & Face ID - Black",34000,31200,4.1
Itel,"S16 Pro 6.6"" HD+, 2GB RAM + 32GB ROM, Android 10, 4000mAh, 8MP Triple Camera, Face ID & Fingerprint -Green +Free Solopod",52000,43790,4.1
Gionee,"M12, 6.55-Inch HD+ (6GB RAM, 128GB ROM) Android 10 (48MP + 5MP + 2MP + 2MP) + 16MP  Dual SIM 4G LTE - Green",82500,79900,4.3
Itel,"A56 Pro 5.99"" Screen, Android 9, 32GB ROM + 2GB RAM, 8MP+5MP Camera, 4000mAh, Fingerprint & Face ID - Blue + Free Case",38490,36990,4.2
MAXFONE,MAX 5X 3200mAh Camera With Flash Water Drop Screen Dual Sim Fingerprint Android Phone - Emerald Green,,29300,4.7
Itel,"P15 5.0"" HD Screen, 16GB ROM + 1GB RAM, Android 9 Pie, 5MP + 5MP Camera, 4000mAh Battery, Fingerprint & Face ID  - Black",30000,26490,4.2
Tecno,"Pop5(BD2),6.1""HD+DotNotch Screen, Android 10 (Go Edition), 5MP Front ,5MP Dual Rear Camera,2G/3G, 4000mAh-Obdidian Black",40000,35999,5.0
Infinix,Smart 5 (X657)- 32gb ROM/ 2gb RAM- 6.6'' HD+ Waterdrop- 5000mah-8MP/8MP-ANDROID TM 10(Go Edition) -OCEAN WAVE,50500,43500,4.3
Gionee,"M12, 6.55-Inch HD+ (6GB RAM, 128GB ROM) Android 10 (48MP + 5MP + 2MP + 2MP) + 16MP  Dual SIM 4G LTE - BLACK",82500,79900,4.6
Itel,"S16 6.5"" HD FullScreen, 16GB ROM + 1GB RAM, Android 10, 4000mAh, 8MP Triple Rear Camera, Face ID & Fingerprint - Blue",40000,35990,4.2
Itel,"P36 6.5"" HD+ (16GB ROM, 1GB RAM) Android 9 Pie, 5000mAh Battery 8MP + 8MP Camera, Fingerprint + Face ID - Blue",40000,34600,3.6
Tecno,"Spark 7 P (KF7j) 6.8"" HD+, 64GB ROM +4GB RAM, 16MP Triple Camera, 5000mAh, Helio G70, 4G, Fingerprint - Magnet Black",70000,63400,4.0
Itel,"A16 Plus 5.0"" Screen Android 8.1, 1GB ROM + 8GB ROM, 5MP + 2MP, 2050mAh Dual SIM 3G - Gold With Free Case",24000,21790,4.3
Tecno,"Spark 7p (KF7j) 6.8"" HD+, 64GB ROM + 4GB RAM, 16MP Triple Camera, 5000mAh, Android 11, Helio G70, 4G, Fingerprint - Blue",75000,63490,5.0
Generic,Phone Tripod Stand Kit With Remote Control Lightweight Portable,15000,5899,5.0
Tecno,"POP 2F ( B1G) 5.5"" 16GB ROM,1GB RAM, 8MP Front+5MP Back, Battery 2400mAh, Fingerprint, Face Unlock - Midnight Black",31000,28400,4.1
MAXFONE,MAX 5X 3200mAh Camera With Flash Water Drop Screen Dual Sim Fingerprint Android Phone - Blue,,29300,4.0
Samsung,"Galaxy A12(D/S)- 6.5"" 48MP Camera, 4/128GB Memory, 5000maH Battery, Fingerprint, 4G LTE - BLUE",190900,94400,4.0
Itel,"A37 5.7"" HD+ Waterdrop Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP Camera, Face ID - Blue + Free Case",30000,28290,4.7
Tecno,"POP 5 (BD2) 6.1"" HD+ Display, 1GB RAM + 16GB ROM, 4000mAh, Android 10, 5MP + 5MP Camera, Fingerprint & Face ID - Black",40000,35990,2.0
Tecno,"Spark 7p (KF7J) (64GB, 4GB RAM) 6.8-Inch HD, Android Q (Go Edition) 16MP Rear+8MP Selfie Camera, 5000mAh - Black",70000,63500,4.8
Gionee,S10 Lite 5.2 Inch 4GB RAM 32GB ROM 16MP+13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA-Black,38900,29390,4.3
UMIDIGI,"BISON IP68/IP69K (6GB,128GB) 6.3-Inch Gorilla Glass (48MP+16MP+5MP+5MP)+24MP NFC Android 10 Rugged Smartphone-Yellow",131500,81900,4.4
Infinix,"HOT 10 Play - 6.82"" HD+ (2GB RAM, 32GB ROM) 13MP/Portrait Ai Dual Camera + 8MP Selfie - 6000MAH - 4G LTE - OBSIDIAN BLACK",75500,56100,4.4
Tecno,"POP4 Air (BC1) 6.52"" Screen, 1GB RAM + 16GB ROM, 5000mAh Battery, Android 10, 5MP + 5MP Camera, Fingerprint - Grey",40000,37490,4.0
