Phone Brand,Phone specification,Old Price,New Price,Rating
Nokia,"Lumia 630 4.5"" Screen 3G Cellphone Mobile Phone(Yellow)",27000,16900,
Generic,S1 Sports Band BT Earphone Smart Headset With Microphone,44551,22276,
Infinix,"Note 8 - 6.95"" (6GB, 128GB ROM) Android10 -64MP Quad Camera + 16MP/Portrait Lens- Dual Sim - 5200mAh -4G- Deepsea Luster",150000,135000,
Nokia,"Lumia 630 4.5"" Screen 3G Cellphone Mobile Phone(White)",27000,18900,
Nokia,"Lumia 635 Cellphone Windows Phone 4.5"" 8G ROM 4G LTE Smartphone Mobile Phone(Green)",27000,18900,
Samsung,Galaxy S21 Plus Dual SIM - 256GB ROM - 8GB RAM - 5G - Phantom Silver,,576000,
Poco,"X3 NFC, 6.67-Inch (6GB RAM, 128GB ROM) Android 10 (64MP + 13MP + 2MP + 2MP) + 20MP 4G Dual SIM - Shadow Gray",,150000,
XIAOMI,"Redmi 9A, 6.53-Inch 2GB RAM, 32GB ROM Android 10 13MP + 5MP  4G Dual SIM - Peacock Green",49000,48000,
Cubot,"H2 5.5"" HD OGS IPS 1280*720 Screen Metal Frame 4G",222184,111092,
Tecno,"POP5 (BD2) - 6.1"" HD+ Dot Notch Screen, 16GB ROM, 1GB RAM, 5MP/5MP, 4000mAh, Fingerprint, Face Unlock - Ice Blue",46000,36000,
Samsung,Galaxy S20 Plus (S20+) 6.7'' (8GB 128GB ROM) Android 10.( 64MP +12MP + 12MP + 0.3MP)+(10MP) Dual SIM 4G - Cosmic Black,,365000,
Itel,"A56 Pro 5.99"" Screen, Android 9, 32GB ROM+2GB RAM, 8MP+5MP Camera, 4000mAh, Fingerprint & Face ID -Black +Free 16GB Card",40000,38490,
Infinix,"Note 8 - 6.95"" (6GB, 128GB ROM) Android10 -64MP Quad Camera + 16MP/Portrait Lens- Dual Sim - 5200mAh -4G- Deepsea Luster",,135000,
Itel,"A56 LTE 5.99"" IPS Screen, Android 9 Pie, 16GB ROM + 1GB RAM, 4G, 4000mAh, 8MP + 5MP Camera, Fingerprint & Face ID - Blue",40000,37999,
Samsung,Galaxy S20 Plus - 6.7-Inch (8GB Ram- 128GB Rom) - Dual SIM 4G - Aura Red,,310000,
Vargo,"VX3, 5.7-Inch HD+ (6GB RAM, 128GB ROM) Android 7  Dual SIM 4G LTE - FREE BLUETOOTH",,76800,
Tecno,"POP3 (BB2) 5.7"", 16GB ROM + 1GB RAM, Android 8.1 Oreo, 8MP + 5MP, 3500mAh, Fingerprint & Face ID - Sandstone Black",,32500,4.4
Nokia,"Lumia 925 Windows Phone 4.5"" 1GB 16GB Camera 8.7MP Wifi GPS 4G Mobile Phone(Silver)",32500,22900,
Nokia,"Lumia 730 N730 Mobile Phone Dual Sim 3G 4.7"" Screen 1GB RAM 8GB ROM 6.7MP Cellphone(Green)",40900,28900,
Vivo,"Y51, 6.58-Inch, 8GB RAM 128GB ROM Android 11 (48MP + 8MP + 2MP) + 16MP Dual SIM - Titanium Sapphire",,115000,
Samsung,Galaxy A01 16GB (2GB RAM) Black,98644,89677,
Vivo,"Y51, 6.58-Inch, 8GB RAM 128GB ROM Android 11 (48MP + 8MP + 2MP) + 16MP Dual SIM - Titanium Sapphire",,136900,
Nokia,Lumia 950 5.2 Inch 32GB ROM 3GB RAM 20.0MP Hexa Core Windows Mobile NFC FDD Touchscreen Mobile Phone(Black),63500,44500,
Samsung,"Galaxy A32 (128GB, 6GB RAM) 6.4"" FHD + 4 Rear Camera (48+8+5+2)MP,+ 20MP, 5000mAh, Dual SIM LTE - Awesome Black",189000,155000,
Samsung,"Galaxy Note 9 - Single Sim - 6gb Ram - 128gb Rom + Free Pouch, Screen Guide & A Small Torchlight Phone",,200000,
Doogee,"S59 Pro Rugged Phone, 4GB+128GB, 5.71 Inch Android 10 Smartphone - Black",125400,87800,
Apple,"12 Pro Max - 256GB, 6GB RAM, 6.7-Inch,(12MP+12MP+12MP) - Silver",700000,680000,
Samsung,"Galaxy S10 6.1-Inch AMOLED (8GB, 128GB ROM) Android 9.0 Pie, 12MP + 12MP + 16MP SINGLE SIM 4G - Prism White",,260000,
Ulefone,"Note 8, 2GB+16GB, 5.5 Inch Android 10, 3G Smartphone - Black",50000,36000,
Samsung,"Galaxy Fold, 7.3-Inch (12GB RAM, 512GB ROM), (12MP + 12MP + 16MP) + (10MP + 8MP) Nano SIM - Space Silver ",605000,595000,
Samsung,Galaxy S9PLUS  (S9+)  (6GB RAM 64GB ROM)  - Midnight Black,,140000,
Apple,Refurbished (Class A) - Apple IPhone 8 Plus 3GB RAM+256GB ROM - Space Gray,580000,290000,
Sony,"Xperia XA1 Ultra 6.0"" Smartphone LTE Android 4GB 32GB  Mobile Phone -Gold",59900,53900,5.0
Itel,"P15, 5.0"" HD Screen, 16GB ROM ,1GB ROM, Android 9 Pie, 5MP + 5MP Camera, 4000mAh, Fingerprint, Face ID, Black",28000,27500,
Itel,"A35(W5002)-5.0"" HD BRIGHTER SCREEN-16GB ROM/1GB RAM-5.0MP/2.0MP-FACE UNLOCK-ANDROID TM 10(GO EDITION)-3200MAH-GREEN",26000,24511,
Oppo,"A54, 6.51-Inch, 4GB RAM,128GB ROM Andriod 10 (13MP + 2MP + 2MP) + 16MP Dual SIM - Starry Blue",,96500,
Nokia,Lumia 1520 Mobile Phone Cellphone 20.0MP 6.0 Inch TouchScreen Quad Core 2GB 16GB/32GB Windows OS Smartphone(Black),71500,49900,
Itel,"P36, 6.5 HD+ Display, 5000mah Battery, 16GB- Gradation Blue",,40000,
Samsung,"Galaxy Note9 - 6.4"" 6GB RAM + 128GB ROM Dual 12MP Single SIM Smartphone - Black",,250000,
Tecno,"Spark Go 2020, 6.52'' HD+, 32+2GB, 13MP Rear Camera + 8MP Front Camera, 5000mAh, Android 10, 4G - Aqua Blue",52000,45200,
